Commodity_Detail,Commodity Group,Production_Type,Sector,Sub-Sector,HS8,NAICS6,NAICS6_Code,NAICS5_Code,NAICS4_Code,NAICS3_Code,HS8_code
Horses,Other animals,Primary,Livestock,Live animals & insects,"01011000 Horses, asses, mules and hinnies, live, pure-bred breeding (Number)",112920 Horse and other equine production,112920,11292,1129,112,01011000
Horses,Other animals,Primary,Livestock,Live animals & insects,"01011100 Horses, live pure-bred breeding (Number)",112920 Horse and other equine production,112920,11292,1129,112,01011100
Horses,Other animals,Primary,Livestock,Live animals & insects,01011900 Horses for slaughter (Number),112920 Horse and other equine production,112920,11292,1129,112,01011900
Horses,Other animals,Primary,Livestock,Live animals & insects,01011910 Horses for slaughter (Number),112920 Horse and other equine production,112920,11292,1129,112,01011910
Horses,Other animals,Primary,Livestock,Live animals & insects,"01011990 Horses, live nes (Number)",112920 Horse and other equine production,112920,11292,1129,112,01011990
Horses,Other animals,Primary,Livestock,Live animals & insects,"01012000 Asses, mules and hinnies, live (Number)",112920 Horse and other equine production,112920,11292,1129,112,01012000
Horses,Other animals,Primary,Livestock,Live animals & insects,"01012100 Horses, live, pure-bred breeding (Numbert",112920 Horse and other equine production,112920,11292,1129,112,01012100
Horses,Other animals,Primary,Livestock,Live animals & insects,"01012900 Horses, live, for slaughter (Number)",112920 Horse and other equine production,112920,11292,1129,112,01012900
Horses,Other animals,Primary,Livestock,Live animals & insects,"01012910 Horses, live, for slaughter (Number)",112920 Horse and other equine production,112920,11292,1129,112,01012910
Horses,Other animals,Primary,Livestock,Live animals & insects,"01012990 Horses, live, other than pure-bred or for slaughter (Number)",112920 Horse and other equine production,112920,11292,1129,112,01012990
Horses,Other animals,Primary,Livestock,Live animals & insects,"01013000 Asses, live (Number)",112920 Horse and other equine production,112920,11292,1129,112,01013000
Horses,Other animals,Primary,Livestock,Live animals & insects,"01019000 Mules and hinnies, live (Number)",112920 Horse and other equine production,112920,11292,1129,112,01019000
Horses,Other animals,Primary,Livestock,Live animals & insects,"01019010 Live horses, asses, mules and hinnies, for slaughter (Number)",112920 Horse and other equine production,112920,11292,1129,112,01019010
Horses,Other animals,Primary,Livestock,Live animals & insects,"01019090 Live horses, asses, mules and hinnies, nes (Number)",112920 Horse and other equine production,112920,11292,1129,112,01019090
Dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01021000 Bovine animals, live, pure-bred breeding, dairy (Number)",112120 Dairy cattle and milk production,112120,11212,1121,112,01021000
Dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01021010 Bovine, live pure-bred breeding, dairy (Number)",112120 Dairy cattle and milk production,112120,11212,1121,112,01021010
Dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01021011 Bovine, male, live, pure-bred, breeding, dairy. (Number)",112120 Dairy cattle and milk production,112120,11212,1121,112,01021011
Dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01021012 Bovine, female, live, pure-bred, breeding, dairy (Number)",112120 Dairy cattle and milk production,112120,11212,1121,112,01021012
Non-dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01021090 Bovine, live, pure-bred breeding except dairy (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01021090
Non-dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01021091 Bovine, male, live, pure-bred, breeding, exc dairy (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01021091
